name,Price,Processor Brand,Processor Name,RAM,SSD Capacity,Graphic Processor,Screen Size,Screen Resolution,Additional Features,user rating,simulated_reviews
"Asus Rog Strix Scar 17 Core I9 12Th Gen - (32 Gb/1 Tb Ssd/Windows 11 Home/8 Gb Graphics/Nvidia Geforce Rtx 3070 Ti) G733Zw-Ll139Ws Gaming Laptop  (17.3 Inch, Off Black, 2.90 Kg, With Ms Office)",2349.9,Intel,Core I9,32.0,1024.0,Nvidia Geforce Rtx 3070 Ti,43.94 cm (17.3 inch),2560 x 1440 Pixel,90 WHrs Li-ion Battery,5.0,This laptop has the following features: 90 whrs li-ion battery. Users find it reliable and suitable for its intended purpose.
"Asus Rog Strix Scar 15 Core I9 12Th Gen - (32 Gb/1 Tb Ssd/Windows 11 Home/8 Gb Graphics/Nvidia Geforce Rtx 3070 Ti) G533Zw-Ln136Ws Gaming Laptop  (15.6 Inch, Off Black, 2.30 Kg, With Ms Office)",2299.9,Intel,Core I9,32.0,1024.0,Nvidia Geforce Rtx 3070 Ti,39.62 cm (15.6 inch),2560 x 1440 Pixel,90 WHrs Li-ion Battery,4.3,This laptop has the following features: 90 whrs li-ion battery. Users find it reliable and suitable for its intended purpose.
"Hp Victus Ryzen 7 Octa Core 5800H - (16 Gb/512 Gb Ssd/Windows 11 Home/4 Gb Graphics/Nvidia Geforce Rtx 3050) 16-E0351Ax Gaming Laptop  (16.1 Inch, Mica Silver, 2.48 Kg, With Ms Office)",1040.91,Amd,Ryzen 7 Octa Core,16.0,512.0,Nvidia Geforce Rtx 3050,40.89 cm (16.1 inch),1920 x 1080 PIxel,70 Wh Li-ion polymer,4.3,This laptop has the following features: 70 wh li-ion polymer. Users find it reliable and suitable for its intended purpose.
"Lenovo Ideapad Gaming 3I Ryzen 7 Octa Core R7-5800H 5Th Gen - (16 Gb/512 Gb Ssd/Windows 11 Home/4 Gb Graphics/Nvidia Geforce Rtx 3050) 15Ach6 Gaming Laptop  (15.6 Inch, Shadow Black, 2.25 Kg, With Ms Office)",877.17,Amd,Ryzen 7 Octa Core,16.0,512.0,Nvidia Geforce Rtx 3050,39.62 cm (15.6 inch),1920 x 1080 pixel,"512GB SSD to store all your files, Windows 11 Home software for easy to understand performance, 39.6 cm (15.6"") FHD Display to get definitive visuals, 16GB DDR4 3200 MHz RAM for smooth utilizing experience, Ryzen 7 5800H Processor for quick performance",4.3,"This laptop has the following features: 512gb ssd to store all your files, windows 11 home software for easy to understand performance, 39.6 cm (15.6"") fhd display to get definitive visuals, 16gb ddr4 3200 mhz ram for smooth utilizing experience, ryzen 7 5800h processor for quick performance. Users find it reliable and suitable for its intended purpose."
"Lenovo Yoga Slim 7 Core I5 11Th Gen - (16 Gb/512 Gb Ssd/Windows 11 Home) 82A300Mbin Thin And Light Laptop  (14 Inch, Slate Grey, With Ms Office)",759.9,Intel,Core I5,16.0,512.0,Intel Integrated Intel,35.56 cm (14 inch),1080 pixel,No additional features provided.,4.3,This laptop has the following features: no additional features provided.. Users find it reliable and suitable for its intended purpose.
"Lenovo Yoga Slim 7 Core I7 11Th Gen - (16 Gb/512 Gb Ssd/Windows 11 Home) 14Itl05 Thin And Light Laptop  (14 Inch, Slate Grey, 1.36 Kg, With Ms Office)",783.95,Intel,Core I7,16.0,512.0,Intel Integrated Iris Xe Graphics,35.56 cm (14 inch),1920 x 1080 pixel,"Processor: 11th Gen Intel Core i5-1135G7 | Speed: 2.4 GHz (Base) - 4.2 GHz (Max) | 4 Cores | 8MB Cache, Display: 14"" FHD (1920x1080)| IPS Technology | 300Nits Brightness |100% sRGB, Memory and Storage: 16GB RAM DDR4-3200 | 512GB SSD, Windows 11 Home 64, English, Pre-Installed: MS Office Home and Student 2019",4.3,"This laptop has the following features: processor: 11th gen intel core i5-1135g7 | speed: 2.4 ghz (base) - 4.2 ghz (max) | 4 cores | 8mb cache, display: 14"" fhd (1920x1080)| ips technology | 300nits brightness |100% srgb, memory and storage: 16gb ram ddr4-3200 | 512gb ssd, windows 11 home 64, english, pre-installed: ms office home and student 2019. Users find it reliable and suitable for its intended purpose."
"Lenovo Lenovo V15 Celeron Dual Core - (4 Gb/256 Gb Ssd/Windows 10) 82C30053Ih Thin And Light Laptop  (15.6 Inch, Iron Grey)",292.9,Intel,Celeron Dual Core,4.0,256.0,Intel Integrated Intel Hd,39.62 cm (15.6 inch),1080 pixel,No additional features provided.,3.0,This laptop has the following features: no additional features provided.. Users find it reliable and suitable for its intended purpose.
"Lenovo Yoga 6 Ryzen 7 Octa Core R7-5700U 5Th Gen - (16 Gb/1 Tb Ssd/Windows 11 Home) 13Alc6 2 In 1 Laptop  (13.3 Inch, Abyss Blue, 1.31 Kg, With Ms Office)",913.08,Amd,Ryzen 7 Octa Core,16.0,1024.0,Amd Radeon Integrated Amd Radeon Graphics,33.78 cm (13.3 inch),1920 x 1080 pixel,"Processor: 5th Gen AMD Ryzen 7 - 5700U | Speed: 1.8 GHz (Base) - 4.3 GHz (Max) | 8 Cores | 8MB Cache, Display: 13"" FHD (1920x1080)| IPS Technology | 300Nits Glossy | Touch Screen, Memory and Storage: 16GB RAM DDR4-3200 | 1TB SSD, Windows 11 Home 64, English, Pre-Installed: MS Office Home and Student 2019",4.3,"This laptop has the following features: processor: 5th gen amd ryzen 7 - 5700u | speed: 1.8 ghz (base) - 4.3 ghz (max) | 8 cores | 8mb cache, display: 13"" fhd (1920x1080)| ips technology | 300nits glossy | touch screen, memory and storage: 16gb ram ddr4-3200 | 1tb ssd, windows 11 home 64, english, pre-installed: ms office home and student 2019. Users find it reliable and suitable for its intended purpose."
"Asus Tuf Gaming F15 Core I5 10Th Gen - (8 Gb/1 Tb Ssd/Windows 11 Home/4 Gb Graphics/Nvidia Geforce Gtx 1650/144 Hz) Fx506Lh-Hn310W Gaming Laptop  (15.6 Inch, Black, 2.30 Kg)",649.9,Intel,Core I5,8.0,1024.0,Nvidia Geforce Gtx 1650,39.62 cm (15.6 inch),1920 x 1080$$Pixels pixel,No additional features provided.,4.7,This laptop has the following features: no additional features provided.. Users find it reliable and suitable for its intended purpose.
"Dell Inspiron Pentium Silver - (8 Gb/256 Gb Ssd/Windows 11 Home) Inspiron 3521 Notebook  (15.6 Inch, Carbon Black, 1.61 Kg, With Ms Office)",329.99,Intel,Pentium Silver,8.0,256.0,Intel Integrated Uhd Graphics,39.62 cm (15.6 Inch),1920 x 1080 Pixels,No additional features provided.,4.0,This laptop has the following features: no additional features provided.. Users find it reliable and suitable for its intended purpose.
"Dell Inspiron Athlon Dual Core 3050U - (8 Gb/256 Gb Ssd/Windows 11 Home) Inspiron 3525 Notebook  (15.6 Inch, Carbon Black, 1.68 Kg, With Ms Office)",309.9,Amd,Athlon Dual Core,8.0,256.0,Amd Radeon Radeon Graphics,39.62 cm (15.6 Inch),1920 x 1080 Pixels,No additional features provided.,4.2,This laptop has the following features: no additional features provided.. Users find it reliable and suitable for its intended purpose.
"Dell Core I5 11Th Gen - (16 Gb/512 Gb Ssd/Windows 11 Home) Xps 9305 Thin And Light Laptop  (13.4 Inch, Platinum Silver, 1.16 Kg, With Ms Office)",1496.45,Intel,Core I5,16.0,512.0,Intel Integrated Iris Xe,34.04 cm (13.4 inch),1920 x 1080 Pixel,No additional features provided.,4.3,This laptop has the following features: no additional features provided.. Users find it reliable and suitable for its intended purpose.
